epoch,loss,val_loss
0,0.12289848472774029,0.065863246440887452
1,0.062321694940924648,0.054114153146743775
2,0.056087791829109189,0.050069928169250488
3,0.053033355908691883,0.047490033984184263
4,0.050516365166306497,0.045198043406009678
5,0.038540915953218936,0.028678490817546844
6,0.026779155726432802,0.024358016580343245
7,0.022749032822847366,0.020702722162008285
8,0.020361531226187946,0.018964996010065079
9,0.018719877431094645,0.017566119149327278
10,0.017499733079969881,0.016782261043787002
11,0.016558744585365055,0.015436812788248062
12,0.01577954924106598,0.014759706184267998
13,0.015157379031479359,0.014574563443660735
14,0.014582858418226242,0.013575463652610779
15,0.014117610649317503,0.014073274403810501
16,0.013722388353496789,0.012741758644580841
17,0.013351838852465154,0.01235296769440174
18,0.013053644566386939,0.012383486896753311
19,0.012748229973912239,0.011919945448637009
