epoch,loss,val_loss
0,0.21847198611497878,0.08705654013156891
1,0.068812421516180042,0.0568950252532959
2,0.054438521399199961,0.050088906049728391
3,0.049869905269145968,0.047025914311408998
4,0.047436102973520758,0.045280701398849488
5,0.045897375234663487,0.044066057384014132
6,0.04481675646543503,0.043163314104080197
7,0.044139602076113227,0.042602277457714083
8,0.043749853594899177,0.042408894002437594
9,0.043551253539323806,0.04230654811859131
10,0.043440142908990384,0.042261386930942536
11,0.043383157965838907,0.042134305000305176
12,0.043349284264147282,0.042129713833332062
13,0.043296562445163729,0.042117236375808713
14,0.043268781359195707,0.042164119184017183
15,0.043235704889297483,0.042059414625167844
16,0.043216879052221775,0.0422515082359314
17,0.043175457758903503,0.042057180643081664
18,0.043168386287093165,0.042068206906318663
19,0.043133939085006713,0.042042911529541017
