epoch,loss,val_loss
0,0.14993379763364792,0.062738191694021228
1,0.057066350209712985,0.05085877549648285
2,0.050430005011558532,0.04655829036235809
3,0.046564861224591733,0.044104814946651458
4,0.044575252809822559,0.042991201430559157
5,0.04370351007401943,0.04257844278216362
6,0.043256346547901628,0.04239213842153549
7,0.04302246346563101,0.042209710150957105
8,0.042812999278455971,0.042099880084395407
9,0.042673798783123496,0.042201901972293857
10,0.042546162120699879,0.042466232180595399
11,0.04244498334020376,0.041957028985023501
12,0.042354998597204686,0.041929126590490341
13,0.042267080822885036,0.041824475824832917
14,0.042153625619113448,0.04166870580613613
15,0.04200464512333274,0.041517629086971285
16,0.041769238947331908,0.041019790232181552
17,0.040652553607821468,0.037421360760927197
18,0.029830606212317944,0.023820302784442901
19,0.020279424542784689,0.017877968996763229
